name,group,corr_coeff
qPFJet5Eta,Q3,0.04197152397326957
qPFJet5Eta,Q4,0.47836748008670266
qPFJet5Eta,Q5,0.696191972118179
qPFJet0Phi,mean,0.06559387262484322
qPFJet0Phi,RMS,0.024098984959796867
qPFJet0Phi,Q1,0.22245356937342425
qPFJet0Phi,Q2,0.03489448140859689
qPFJet0Phi,Q3,0.058587729258564904
qPFJet0Phi,Q4,0.05144969337580849
qPFJet0Phi,Q5,0.23028677799832106
qPFJet1Phi,mean,0.024107033649226263
qPFJet1Phi,RMS,0.0727416802946374
qPFJet1Phi,Q1,0.28201380112629404
qPFJet1Phi,Q2,0.035438013833309384
qPFJet1Phi,Q3,0.01754427985387951
qPFJet1Phi,Q4,0.06573714188984664
qPFJet1Phi,Q5,0.2631395592885694
qPFJet2Phi,mean,0.03139070114900313
qPFJet2Phi,RMS,0.056966842445997666
qPFJet2Phi,Q1,0.2593208328651804
qPFJet2Phi,Q2,0.018101622242958915
qPFJet2Phi,Q3,0.032205925613741165
qPFJet2Phi,Q4,0.05409938496285831
qPFJet2Phi,Q5,0.27008651948218854
qPFJet3Phi,mean,0.04959405809028914
qPFJet3Phi,RMS,0.03176727118840825
qPFJet3Phi,Q1,0.24424734655485797
qPFJet3Phi,Q2,0.02777144281692407
qPFJet3Phi,Q3,0.054965837099765935
qPFJet3Phi,Q4,0.047087203207195824
qPFJet3Phi,Q5,0.23513149919552553
qPFJet4Phi,mean,0.036524777820145626
qPFJet4Phi,RMS,0.05552159053789499
qPFJet4Phi,Q1,0.22680437030382128
qPFJet4Phi,Q2,0.0451470884873218
qPFJet4Phi,Q3,0.029399941295355142
qPFJet4Phi,Q4,0.049371334149201154
qPFJet4Phi,Q5,0.20460768952510971
qPFJet5Phi,mean,0.02661628569146529
qPFJet5Phi,RMS,0.10410855382996168
qPFJet5Phi,Q1,0.1787405804338897
qPFJet5Phi,Q2,0.08537364716365878
qPFJet5Phi,Q3,0.044191174693699486
qPFJet5Phi,Q4,0.06222961306597165
qPFJet5Phi,Q5,0.17392307220402625
qPFJet4CHS0Pt,mean,0.5402070868108111
qPFJet4CHS0Pt,RMS,0.0825938474855507
qPFJet4CHS0Pt,Q1,0.366821491479991
qPFJet4CHS0Pt,Q2,0.7840570099662498
qPFJet4CHS0Pt,Q3,0.6581677234229527
qPFJet4CHS0Pt,Q4,0.3742540844034044
qPFJet4CHS0Pt,Q5,0.1559805613952195
qPFJet4CHS1Pt,mean,0.9664615853005951
qPFJet4CHS1Pt,RMS,0.8901563760709015
